fecha,agente,cat,componente,de_hrs,a_hrs,causa
2005-08-26,VHE,G,VHE02,05:54,24:00,Limitaciones en el suministro de gas
2005-08-26,VHE,G,VHE03,00:24,02:00,Limitaciones en el suministro de gas
2005-08-26,VHE,G,VHE03,05:54,06:16,Limitaciones en el suministro de gas
2005-08-26,VHE,G,VHE04,00:00,02:00,Limitaciones en el suministro de gas
2005-08-26,VHE,G,VHE04,05:54,06:57,Limitaciones en el suministro de gas
2005-08-26,VHE,G,VHE04,10:38,17:53,Limitaciones en el suministro de gas
2005-08-26,VHE,G,VHE04,23:21,24:00,Limitaciones en el suministro de gas
2005-08-26,COBEE,G,KEN01,00:34,06:03,Limitaciones en el suministro de gas
2005-08-26,COBEE,G,KEN02,00:00,19:03,Limitaciones en el suministro de gas
2005-08-26,COBEE,G,KEN01,19:11,24:00,Limitaciones en el suministro de gas
2005-08-26,COBEE,G,KEN02,20:13,24:00,Limitaciones en el suministro de gas
2005-08-25,VHE,G,VHE01,00:00,04:00,Limitaciones en el suministro de gas
2005-08-25,VHE,,VHE01,04:58,24:00,Limitaciones en el suministro de gas
2005-08-25,VHE,G,VHE02,00:00,04:00,Limitaciones en el suministro de gas
2005-08-25,VHE,,VHE02,04:58,10:57,Limitaciones en el suministro de gas
2005-08-25,VHE,G,VHE02,19:21,24:00,Limitaciones en el suministro de gas
2005-08-25,VHE,G,VHE03,00:30,04:00,Limitaciones en el suministro de gas
2005-08-25,VHE,,VHE03,04:58,05:52,Limitaciones en el suministro de gas
2005-08-25,VHE,G,VHE04,00:00,04:00,Limitaciones en el suministro de gas
2005-08-25,VHE,,VHE04,04:58,07:00,Limitaciones en el suministro de gas
2005-08-25,VHE,G,VHE04,21:50,24:00,Limitaciones en el suministro de gas
2005-08-25,COBEE,G,KEN01,00:21,05:00,Limitaciones en el suministro de gas
2005-08-25,COBEE,,KEN01,05:53,08:17,Limitaciones en el suministro de gas
2005-08-25,COBEE,G,KEN02,00:00,05:00,Limitaciones en el suministro de gas
2005-08-25,COBEE,,KEN02,05:53,06:16,Limitaciones en el suministro de gas
2005-08-25,COBEE,G,KEN02,10:00,14:16,Limitaciones en el suministro de gas
2005-08-25,COBEE,G,KEN02,20:34,24:00,Limitaciones en el suministro de gas
2005-08-24,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-08-24,VHE,G,VHE02,00:00,13:50,Limitaciones en el suministro de gas
2005-08-24,VHE,G,VHE02,23:38,24:00,Limitaciones en el suministro de gas
2005-08-24,VHE,G,VHE03,00:20,05:39,Limitaciones en el suministro de gas
2005-08-24,VHE,G,VHE04,00:00,06:38,Limitaciones en el suministro de gas
2005-08-24,VHE,G,VHE04,23:57,24:00,Limitaciones en el suministro de gas
2005-08-24,COBEE,G,KEN01,00:00,06:02,Limitaciones en el suministro de gas
2005-08-24,COBEE,G,KEN02,00:31,06:00,Limitaciones en el suministro de gas
2005-08-24,COBEE,G,KEN02,10:35,24:00,Limitaciones en el suministro de gas
2005-08-23,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-08-23,VHE,G,VHE02,00:00,14:48,Limitaciones en el suministro de gas
2005-08-23,VHE,G,VHE02,23:29,24:00,Limitaciones en el suministro de gas
2005-08-23,VHE,G,VHE04,00:22,06:14,Limitaciones en el suministro de gas
2005-08-23,VHE,G,VHE04,23:56,24:00,Limitaciones en el suministro de gas
2005-08-23,COBEE,G,KEN01,00:00,06:00,Limitaciones en el suministro de gas
2005-08-23,COBEE,G,KEN01,10:55,24:00,Limitaciones en el suministro de gas
2005-08-23,COBEE,G,KEN02,00:00,06:06,Limitaciones en el suministro de gas
2005-09-30,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-30,VHE,G,VHE02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-30,COBEE,G,KEN01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-30,EGSA,G,ARJ06,00:00,24:00,Limitaciones en el suministro de gas
2005-09-30,COBEE,G,KEN02,11:02,18:21,Limitaciones en el suministro de gas
2005-09-30,VHE,G,VHE04,12:26,24:00,Limitaciones en el suministro de gas
2005-09-30,COBEE,G,KEN02,22:39,24:00,Limitaciones en el suministro de gas
2005-09-29,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-29,VHE,G,VHE02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-29,COBEE,G,KEN01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-29,EGSA,G,ARJ06,00:00,24:00,Limitaciones en el suministro de gas
2005-09-29,COBEE,G,KEN02,00:00,10:12,Limitaciones en el suministro de gas
2005-09-28,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-28,VHE,G,VHE02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-28,COBEE,G,KEN01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-28,EGSA,G,ARJ06,00:00,24:00,Limitaciones en el suministro de gas
2005-09-28,COBEE,G,KEN02,22:07,24:00,Limitaciones en el suministro de gas
2005-09-27,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-27,VHE,G,VHE02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-27,COBEE,G,KEN01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-27,EGSA,G,ARJ06,00:00,24:00,Limitaciones en el suministro de gas
2005-09-27,VHE,G,VHE03,00:00,10:37,Limitaciones en el suministro de gas
2005-09-27,VHE,G,VHE04,00:00,18:24,Limitaciones en el suministro de gas
2005-09-27,COBEE,G,KEN02,00:00,10:14,Limitaciones en el suministro de gas
2005-09-26,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-26,VHE,G,VHE02,00:00,05:46,Limitaciones en el suministro de gas
2005-09-26,VHE,G,VHE02,22:04,24:00,Limitaciones en el suministro de gas
2005-09-26,VHE,G,VHE03,05:46,24:00,Limitaciones en el suministro de gas
2005-09-26,VHE,G,VHE04,22:13,24:00,Limitaciones en el suministro de gas
2005-09-26,COBEE,G,KEN02,00:00,15:01,Limitaciones en el suministro de gas
2005-09-26,COBEE,G,KEN02,16:12,24:00,Limitaciones en el suministro de gas
2005-09-26,EGSA,G,ARJ06,00:00,24:00,Limitaciones en el suministro de gas
2005-09-26,COBEE,G,KEN01,22:09,24:00,Limitaciones en el suministro de gas
2005-09-25,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-25,VHE,G,VHE02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-25,COBEE,G,KEN02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-25,EGSA,G,ARJ06,00:00,24:00,Limitaciones en el suministro de gas
2005-09-24,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-24,VHE,G,VHE02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-24,COBEE,G,KEN02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-24,EGSA,G,ARJ06,00:00,24:00,Limitaciones en el suministro de gas
2005-09-23,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-23,VHE,G,VHE02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-23,COBEE,G,KEN02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-23,EGSA,G,ARJ06,00:00,24:00,Limitaciones en el suministro de gas
2005-09-22,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-22,VHE,G,VHE02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-22,COBEE,G,KEN02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-22,EGSA,G,ARJ06,00:00,24:00,Limitaciones en el suministro de gas
2005-09-21,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-21,VHE,G,VHE02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-21,COBEE,G,KEN02,00:00,24:00,Limitaciones en el suministro de gas
